name,city,country_iso,code,lat,longit,alt
Goroka Airport,Goroka,PG,GKA,-6.081689834590001,145.391998291,5282
Madang Airport,Madang,PG,MAG,-5.20707988739,145.789001465,20
Mount Hagen Kagamuga Airport,Mount Hagen,PG,HGU,-5.826789855957031,144.29600524902344,5388
Nadzab Airport,Nadzab,PG,LAE,-6.569803,146.725977,239
Port Moresby Jacksons International Airport,Port Moresby,PG,POM,-9.44338035583496,147.22000122070312,146
Wewak International Airport,Wewak,PG,WWK,-3.58383011818,143.669006348,19
Narsarsuaq Airport,Narssarssuaq,GL,UAK,61.1604995728,-45.4259986877,112
Godthaab / Nuuk Airport,Godthaab,GL,GOH,64.19090271,-51.6781005859,283
Kangerlussuaq Airport,Sondrestrom,GL,SFJ,67.0122218992,-50.7116031647,165
Thule Air Base,Thule,GL,THU,76.5311965942,-68.7032012939,251
Akureyri Airport,Akureyri,IS,AEY,65.66000366210938,-18.07270050048828,6
Egilsstaðir Airport,Egilsstadir,IS,EGS,65.2833023071289,-14.401399612426758,76
Hornafjörður Airport,Hofn,IS,HFN,64.295601,-15.2272,24
Húsavík Airport,Husavik,IS,HZK,65.952301,-17.426001,48
Ísafjörður Airport,Isafjordur,IS,IFJ,66.05809783935547,-23.135299682617188,8
Keflavik International Airport,Keflavik,IS,KEF,63.985000610352,-22.605600357056,171
Patreksfjörður Airport,Patreksfjordur,IS,PFJ,65.555801,-23.965,11
Reykjavik Airport,Reykjavik,IS,RKV,64.1299972534,-21.9405994415,48
Siglufjörður Airport,Siglufjordur,IS,SIJ,66.133301,-18.9167,10
Vestmannaeyjar Airport,Vestmannaeyjar,IS,VEY,63.42430114746094,-20.27890014648437,326
Sault Ste Marie Airport,Sault Sainte Marie,CA,YAM,46.48500061035156,-84.5093994140625,630
St. Anthony Airport,St. Anthony,CA,YAY,51.3918991089,-56.083099365200006,108
Tofino / Long Beach Airport,Tofino,CA,YAZ,49.079833,-125.775583,80
Kugaaruk Airport,Pelly Bay,CA,YBB,68.534401,-89.808098,56
Baie Comeau Airport,Baie Comeau,CA,YBC,49.13249969482422,-68.20439910888672,71
CFB Bagotville,Bagotville,CA,YBG,48.33060073852539,-70.99639892578125,522
Baker Lake Airport,Baker Lake,CA,YBK,64.29889678960001,-96.077796936,59
Campbell River Airport,Campbell River,CA,YBL,49.950801849365234,-125.27100372314452,346
Brandon Municipal Airport,Brandon,CA,YBR,49.91,-99.951897,1343
Cambridge Bay Airport,Cambridge Bay,CA,YCB,69.1081008911,-105.138000488,90
Nanaimo Airport,Nanaimo,CA,YCD,49.0549702249,-123.869862556,92
Castlegar/West Kootenay Regional Airport,Castlegar,CA,YCG,49.2963981628,-117.632003784,1624
Miramichi Airport,Chatham,CA,YCH,47.007801,-65.449203,108
Charlo Airport,Charlo,CA,YCL,47.990799,-66.330299,132
Kugluktuk Airport,Coppermine,CA,YCO,67.816704,-115.143997,74
Coronation Airport,Coronation,CA,YCT,52.0750007629,-111.444999695,2595
Chilliwack Airport,Chilliwack,CA,YCW,49.1528015137,-121.939002991,32
Clyde River Airport,Clyde River,CA,YCY,70.4860992432,-68.5167007446,87
Coral Harbour Airport,Coral Harbour,CA,YZS,64.1932983398,-83.3593978882,210
Dawson City Airport,Dawson,CA,YDA,64.04309844970703,-139.1280059814453,1215
Burwash Airport,Burwash,CA,YDB,61.37110137939453,-139.04100036621094,2647
Deer Lake Airport,Deer Lake,CA,YDF,49.21080017089844,-57.39139938354492,72
Dease Lake Airport,Dease Lake,CA,YDL,58.4221992493,-130.031997681,2600
Dauphin Barker Airport,Dauphin,CA,YDN,51.10079956054688,-100.052001953125,999
Dawson Creek Airport,Dawson Creek,CA,YDQ,55.7422981262207,-120.18299865722656,2148
Edmonton International Airport,Edmonton,CA,YEG,53.3097000122,-113.580001831,2373
Arviat Airport,Eskimo Point,CA,YEK,61.0942001343,-94.0708007812,32
Estevan Airport,Estevan,CA,YEN,49.2103004456,-102.966003418,1905
Edson Airport,Edson,CA,YET,53.5788993835,-116.464996338,3043
Eureka Airport,Eureka,CA,YEU,79.9946975708,-85.814201355,256
Inuvik Mike Zubko Airport,Inuvik,CA,YEV,68.30419921880001,-133.483001709,224
Iqaluit Airport,Iqaluit,CA,YFB,63.756402,-68.555801,110
Fredericton Airport,Fredericton,CA,YFC,45.868900299072266,-66.53720092773438,68
Forestville Airport,Forestville,CA,YFE,48.74610137939453,-69.09719848632812,293
